Timestamp	Sensor	Voltage	Amperage	Wattage	MaxVolts	MinVolts	MaxAmps	MinAmps
2012/06/01 00:01:08	1	123.190740741	1.41589008363	174.385895394	126.055555556	118.888888889	1.70250896057	1.12903225806
2012/06/01 00:03:10	1	122.756481481	1.406869773	172.662232842	126.611111111	119.444444444	1.67025089606	1.12186379928
2012/06/01 00:05:12	1	123.212962963	1.40848267622	173.525700252	125.833333333	119.333333333	1.70967741935	1.16129032258
2012/06/01 00:07:14	1	122.97037037	1.40352449223	172.548416965	126.0	119.166666667	1.7311827957	1.08243727599
2012/06/01 00:09:16	1	123.432407407	1.40471923536	173.392871366	126.333333333	119.944444444	1.72759856631	1.13978494624
2012/06/01 00:11:19	1	123.078703704	1.38835125448	170.85125448	126.388888889	119.944444444	1.74193548387	1.08243727599
2012/06/01 00:13:21	1	122.916666667	1.41302270012	173.655913978	125.388888889	119.555555556	1.70967741935	1.10752688172
2012/06/01 00:15:23	1	123.043518519	1.41093189964	173.549054162	126.055555556	119.944444444	1.73476702509	1.09677419355
2012/06/01 00:17:25	1	123.023148148	1.41589008363	174.156129696	126.166666667	119.555555556	1.72401433692	1.17562724014
2012/06/01 00:19:27	1	123.082407407	1.40746714456	173.223184654	125.444444444	119.111111111	1.72759856631	1.12544802867
2012/06/01 00:21:30	1	122.985185185	1.42240143369	174.929652861	126.166666667	119.833333333	1.73835125448	1.17204301075
2012/06/01 00:23:32	1	123.059259259	1.3976702509	171.954778973	125.888888889	119.0	1.65949820789	1.09677419355
2012/06/01 00:25:34	1	122.801851852	1.42986857826	175.551679278	125.666666667	119.055555556	1.82795698925	1.11827956989
2012/06/01 00:27:36	1	123.046296296	1.4605734767	179.684750431	126.222222222	120.222222222	1.76702508961	1.21505376344
2012/06/01 00:29:38	1	123.134259259	1.4701911589	181.007410726	126.111111111	119.333333333	1.78853046595	1.1935483871
2012/06/01 00:31:40	1	123.186111111	1.4664874552	180.66304925	127.277777778	120.222222222	1.81003584229	1.17921146953
2012/06/01 00:33:43	1	123.274074074	1.46033452808	180.008794637	125.944444444	118.833333333	1.74551971326	1.15770609319
2012/06/01 00:35:45	1	123.159259259	1.47491039427	181.624505509	126.222222222	120.277777778	1.78494623656	1.1541218638
2012/06/01 00:37:47	1	123.058333333	1.45734767025	179.305034515	125.611111111	120.166666667	1.76702508961	1.16845878136
2012/06/01 00:39:49	1	123.003703704	1.43990442055	177.081279039	125.555555556	120.111111111	1.7311827957	1.11827956989
2012/06/01 00:41:51	1	122.828703704	1.44068100358	176.924336254	126.388888889	118.888888889	1.7311827957	1.11827956989
2012/06/01 00:43:54	1	122.393518519	1.48841099164	182.139874552	126.222222222	118.888888889	1.76702508961	1.14695340502
2012/06/01 00:45:56	1	123.021296296	1.472520908	181.155044471	125.833333333	120.222222222	1.79928315412	1.19713261649
2012/06/01 00:47:58	1	122.823148148	1.48357228196	182.230319926	126.055555556	118.444444444	1.82437275986	1.15053763441
2012/06/01 00:50:00	1	122.972222222	1.4623655914	179.792436612	126.555555556	118.722222222	1.770609319	1.15770609319
2012/06/01 00:52:02	1	122.938888889	1.46911589008	180.602518917	125.833333333	119.388888889	1.84229390681	1.16845878136
2012/06/01 00:54:04	1	122.72037037	1.46152927121	179.357341033	126.166666667	118.611111111	1.770609319	1.13978494624
2012/06/01 00:56:07	1	123.294444444	1.4554958184	179.426821983	125.888888889	119.888888889	1.77419354839	1.11111111111
2012/06/01 00:58:09	1	123.124074074	1.44390681004	177.780532324	125.5	120.111111111	1.75268817204	1.17562724014
2012/06/01 01:00:11	1	122.932407407	1.45770609319	179.20959777	125.611111111	118.722222222	1.79211469534	1.22580645161
2012/06/01 01:02:13	1	122.703703704	1.47676224612	181.179632948	125.722222222	119.388888889	1.89247311828	1.18637992832
2012/06/01 01:04:15	1	122.84537037	1.46182795699	179.556508031	125.444444444	119.0	1.83512544803	1.14336917563
2012/06/01 01:06:18	1	123.207407407	1.45519713262	179.253391743	126.111111111	119.777777778	1.72759856631	1.13261648746
2012/06/01 01:08:20	1	122.847222222	1.46672640382	180.201755609	125.611111111	120.388888889	1.770609319	1.20430107527
2012/06/01 01:10:22	1	122.984259259	1.45794504182	179.260805788	126.222222222	119.277777778	1.80286738351	1.1146953405
2012/06/01 01:12:24	1	122.732407407	1.41989247312	174.271419089	125.555555556	118.5	1.66308243728	1.14336917563
2012/06/01 01:14:26	1	122.908333333	1.4031660693	172.457354308	125.666666667	119.388888889	1.72043010753	1.15053763441
2012/06/01 01:16:29	1	123.049074074	1.40913978495	173.372295234	125.777777778	120.166666667	1.72759856631	1.07168458781
2012/06/01 01:18:31	1	122.563888889	1.41642771804	173.593289526	125.222222222	118.333333333	1.72043010753	1.17562724014
2012/06/01 01:20:33	1	123.034259259	1.40161290323	172.415279437	126.111111111	119.777777778	1.75268817204	1.10752688172
2012/06/01 01:22:35	1	122.666666667	1.41702508961	173.837740608	125.055555556	119.277777778	1.74551971326	1.11111111111
2012/06/01 01:24:37	1	123.074074074	1.38870967742	170.89992035	126.222222222	119.666666667	1.75627240143	1.08960573477
2012/06/01 01:26:39	1	122.862962963	1.40513739546	172.609056817	125.555555556	119.333333333	1.73835125448	1.10394265233
2012/06/01 01:28:42	1	122.717592593	1.40561529271	172.511147617	126.277777778	119.722222222	1.70967741935	1.16487455197
2012/06/01 01:30:44	1	123.093518519	1.39910394265	172.26984933	125.888888889	120.666666667	1.72401433692	1.1541218638
2012/06/01 01:32:46	1	122.880555556	1.37879330944	169.381554494	125.611111111	118.944444444	1.65591397849	1.12544802867
